County,Measure,Population 16 years and over,16 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 years and over,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino origin (of any race),White alone not Hispanic or Latino,Population 20 to 64 years,Male,Female,Below poverty level,At or above the poverty level,Population 25 to 64 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
Clinton,Labor Force Participation Rate,56.50%,40.90%,71.30%,71.90%,71.00%,74.80%,75.00%,68.10%,46.20%,20.20%,7.40%,59.30%,14.20%,24.30%,62.90%,100.00%,23.30%,59.00%,30.50%,59.40%,69.50%,67.60%,71.80%,43.50%,81.90%,69.20%,41.20%,60.00%,76.30%,87.90%
Clinton,Unemployment rate,4.50%,18.70%,4.80%,3.90%,6.30%,1.30%,4.30%,3.40%,2.70%,3.70%,2.40%,3.90%,27.30%,32.60%,7.00%,0.00%,19.70%,7.10%,17.50%,4.00%,3.70%,4.10%,3.20%,18.00%,2.60%,3.50%,5.90%,4.10%,3.70%,2.20%
Columbia,Total,51065,2367,2993,3512,3174,6345,8318,5064,4935,8349,6008,45876,2071,52,878,6,851,1331,2064,44838,34341,17244,17097,3441,30249,31348,2566,9223,9271,10288
Columbia,Labor Force Participation Rate,60.90%,41.00%,78.10%,82.30%,86.50%,82.40%,83.10%,75.80%,61.50%,31.60%,8.60%,60.90%,48.40%,46.20%,61.20%,0.00%,73.10%,72.90%,62.10%,61.10%,78.60%,80.20%,77.00%,47.70%,83.80%,78.60%,57.20%,76.20%,79.50%,85.40%
Columbia,Unemployment rate,5.70%,16.90%,13.40%,8.00%,7.20%,4.40%,4.10%,3.00%,4.20%,3.40%,0.80%,5.30%,9.90%,0.00%,9.30%,-,0.50%,14.10%,3.10%,5.30%,5.60%,6.00%,5.10%,24.70%,4.30%,4.80%,5.20%,6.00%,5.30%,3.40%
Cortland,Total,39817,4073,5791,2910,2519,4810,5679,3306,2974,4518,3237,37379,796,56,428,5,299,854,1025,36834,27989,13872,14117,3826,22923,22198,1871,6566,7585,6176
Cortland,Labor Force Participation Rate,63.20%,37.70%,70.10%,87.80%,83.60%,87.50%,83.10%,75.30%,60.30%,32.10%,7.60%,63.30%,62.80%,58.90%,61.40%,100.00%,50.50%,63.20%,71.20%,63.10%,78.40%,81.30%,75.50%,49.30%,86.00%,80.50%,55.60%,76.10%,83.70%,88.90%
Cortland,Unemployment rate,5.60%,11.80%,11.70%,4.20%,7.40%,3.50%,3.10%,4.90%,1.10%,3.50%,1.20%,5.50%,6.60%,0.00%,22.40%,100.00%,0.00%,0.40%,0.70%,5.60%,5.40%,6.70%,4.00%,14.80%,4.40%,3.90%,9.70%,6.80%,3.30%,0.90%
Delaware,Total,38365,2822,2712,2175,2264,4240,5719,3493,3993,6269,4678,36120,778,53,311,3,333,767,1420,35351,24596,12468,12128,3898,20048,21884,2184,8615,6324,4761
Delaware,Labor Force Participation Rate,54.20%,28.40%,65.40%,86.30%,75.10%,82.10%,80.00%,66.70%,52.60%,29.30%,6.80%,55.00%,42.70%,11.30%,39.20%,100.00%,38.10%,42.80%,45.40%,55.00%,72.50%,75.60%,69.30%,41.60%,79.80%,73.40%,52.90%,70.00%,78.20%,82.70%
Delaware,Unemployment rate,4.30%,10.60%,6.10%,5.50%,5.30%,4.50%,3.60%,3.70%,2.00%,2.60%,0.00%,4.20%,1.20%,0.00%,0.00%,0.00%,0.00%,12.80%,8.20%,4.20%,4.20%,4.50%,3.90%,10.40%,3.70%,4.00%,2.80%,4.80%,3.00%,4.50%
Dutchess,Total,245131,17027,21496,17964,16830,33827,41950,22748,21645,29305,22339,192384,25912,692,8444,126,8723,8850,27388,178403,176460,89579,86881,14447,153062,154964,12391,39110,45447,58016
Dutchess,Labor Force Participation Rate,62.90%,36.20%,74.10%,84.10%,82.30%,81.60%,81.70%,75.90%,62.20%,30.20%,8.00%,63.30%,57.60%,55.30%,62.30%,48.40%,64.90%,70.60%,67.60%,62.80%,77.90%,79.10%,76.70%,49.50%,84.20%,78.40%,56.20%,71.20%,80.80%,86.30%
Dutchess,Unemployment rate,5.00%,12.30%,7.80%,9.10%,5.00%,3.80%,2.70%,4.00%,4.30%,3.00%,5.10%,4.50%,7.60%,1.00%,5.70%,0.00%,6.50%,6.10%,5.90%,4.40%,4.80%,5.00%,4.50%,25.60%,3.60%,4.40%,4.80%,6.40%,4.10%,3.30%
Erie,Total,754754,46540,60220,67671,63288,103352,116573,68350,63601,92798,72361,599295,93169,3493,26326,178,15060,17233,36153,585100,543055,266665,276390,69151,463499,482835,32614,115475,150344,184402
Erie,Labor Force Participation Rate,62.50%,42.30%,74.20%,85.10%,85.10%,84.00%,81.20%,73.30%,59.10%,24.00%,6.60%,64.00%,56.50%,56.40%,55.20%,61.80%,55.70%,64.30%,60.70%,64.00%,78.30%,81.10%,75.70%,43.20%,84.80%,78.80%,47.60%,71.00%,79.30%,88.90%
Erie,Unemployment rate,4.80%,14.40%,7.60%,5.00%,4.60%,3.90%,3.70%,4.10%,2.90%,4.30%,1.40%,3.90%,10.10%,11.10%,3.60%,0.00%,7.30%,9.80%,6.90%,3.80%,4.40%,4.90%,3.90%,21.20%,3.10%,4.00%,10.80%,6.20%,4.00%,2.30%
Essex,Total,32128,1534,1854,2318,2191,4136,5087,3155,3104,5013,3736,29793,1179,72,102,19,497,466,1020,29345,21845,11732,10113,2177,17620,19991,1837,6385,5993,5776
Essex,Labor Force Participation Rate,55.40%,38.80%,74.20%,64.90%,74.20%,77.30%,83.60%,69.20%,53.50%,22.40%,7.70%,58.40%,4.90%,23.60%,76.50%,57.90%,10.90%,37.60%,20.60%,59.00%,72.30%,69.20%,75.90%,45.30%,84.00%,72.10%,45.90%,64.50%,78.60%,82.30%
Essex,Unemployment rate,4.70%,18.20%,15.80%,5.10%,2.20%,4.70%,2.70%,1.70%,3.90%,3.20%,0.30%,4.60%,12.10%,0.00%,21.80%,0.00%,0.00%,10.30%,0.00%,4.60%,4.40%,3.60%,5.20%,19.80%,3.40%,3.30%,7.90%,4.30%,3.40%,1.60%
Franklin,Total,41941,2682,3698,3626,3260,6147,6750,3672,3496,5215,3395,34351,2763,2444,447,65,1078,793,1538,33992,30649,17571,13078,4244,22134,26951,3105,9913,8561,5372
Franklin,Labor Force Participation Rate,50.50%,31.80%,54.10%,64.40%,64.00%,68.70%,73.10%,61.10%,41.60%,18.60%,2.80%,55.10%,14.60%,35.60%,72.00%,89.20%,19.70%,49.70%,22.80%,55.40%,62.90%,57.60%,70.00%,37.70%,79.50%,64.10%,32.70%,53.50%,74.00%,86.10%
Franklin,Unemployment rate,7.00%,13.70%,25.60%,5.00%,9.40%,4.70%,3.40%,3.50%,3.30%,3.90%,0.00%,5.40%,9.90%,35.80%,3.40%,0.00%,11.30%,16.80%,10.80%,5.40%,6.80%,6.30%,7.40%,18.80%,5.70%,4.70%,8.60%,9.40%,1.70%,2.50%
Fulton,Total,43871,2243,3029,3124,3088,6396,7539,3760,4260,6042,4390,41436,801,133,321,29,333,818,1180,40795,31196,15911,15285,4635,26214,28167,3090,9727,10219,5131
Fulton,Labor Force Participation Rate,59.10%,42.60%,68.90%,79.80%,80.80%,83.10%,77.50%,68.40%,52.30%,26.50%,7.80%,59.30%,34.10%,66.20%,82.60%,0.00%,71.80%,62.60%,74.40%,58.80%,73.90%,74.70%,72.90%,39.10%,81.00%,74.40%,44.20%,73.20%,79.20%,85.20%
Fulton,Unemployment rate,4.00%,20.80%,6.20%,3.00%,5.50%,2.60%,1.90%,4.70%,0.50%,4.80%,8.70%,3.80%,3.70%,0.00%,8.70%,-,18.80%,3.50%,4.80%,3.80%,3.20%,4.20%,2.10%,13.30%,2.30%,2.80%,3.20%,4.00%,2.40%,1.60%
Genesee,Total,47206,2546,3305,3859,3477,6382,7945,4551,4350,5885,4906,43597,1186,409,425,0,599,990,1306,43121,33869,17390,16479,3639,30067,30564,2024,10378,10711,7451
Genesee,Labor Force Participation Rate,64.30%,45.90%,88.70%,82.80%,87.30%,84.50%,82.90%,83.80%,53.70%,24.80%,9.20%,64.40%,62.20%,70.20%,52.50%,-,65.60%,66.50%,59.60%,64.40%,80.60%,82.40%,78.60%,46.00%,85.20%,79.70%,64.00%,73.50%,83.70%,86.90%
Genesee,Unemployment rate,4.00%,13.20%,5.60%,6.40%,3.60%,3.30%,3.00%,1.10%,3.90%,1.40%,7.80%,3.80%,1.60%,3.80%,0.00%,-,13.50%,6.80%,12.50%,3.70%,3.60%,3.80%,3.40%,17.90%,2.70%,3.40%,4.60%,4.80%,2.90%,2.20%
Greene,Total,40470,1966,2987,2925,2710,5261,6538,3629,3947,6163,4344,35999,2607,207,451,9,427,770,2222,34628,27997,15124,12873,2943,22608,25010,3399,8738,6614,6259
Greene,Labor Force Participation Rate,53.60%,33.20%,59.70%,69.40%,73.00%,72.30%,76.00%,59.70%,58.90%,27.10%,7.40%,55.90%,11.30%,37.20%,58.30%,0.00%,74.50%,79.70%,54.20%,56.30%,68.10%,64.70%,72.00%,45.00%,78.40%,69.10%,33.50%,67.10%,74.80%,85.00%
Greene,Unemployment rate,3.70%,7.80%,6.80%,3.70%,3.60%,2.50%,3.10%,7.10%,2.30%,1.70%,1.20%,3.60%,0.30%,37.70%,0.00%,-,11.00%,1.50%,8.70%,3.40%,3.80%,3.80%,3.80%,27.20%,2.10%,3.50%,12.40%,5.20%,2.70%,0.40%
Hamilton,Total,3922,194,243,110,174,374,567,524,363,848,525,3745,24,4,2,0,8,139,61,3695,2355,1223,1132,187,2154,2112,445,632,637,398
Hamilton,Labor Force Participation Rate,53.30%,35.10%,78.20%,74.50%,89.70%,77.30%,85.50%,61.10%,60.30%,28.50%,7.60%,52.00%,25.00%,100.00%,0.00%,-,50.00%,92.80%,39.30%,52.20%,73.90%,83.50%,63.60%,27.80%,78.40%,73.40%,39.10%,77.70%,81.00%,93.00%
Hamilton,Unemployment rate,2.10%,0.00%,0.50%,3.70%,0.00%,2.10%,1.40%,6.60%,0.00%,0.40%,12.50%,2.10%,0.00%,0.00%,-,-,0.00%,2.30%,0.00%,2.10%,2.20%,3.30%,0.60%,9.60%,2.00%,2.40%,1.70%,1.60%,3.70%,1.90%
Herkimer,Total,50672,3279,3661,3583,3318,6552,8174,4798,4579,7311,5417,48525,654,72,250,52,200,919,896,48094,34665,17335,17330,4529,29985,31004,2455,11030,10468,7051
Herkimer,Labor Force Participation Rate,61.00%,38.90%,80.00%,85.40%,85.00%,84.70%,81.60%,75.10%,59.60%,26.40%,6.30%,61.00%,51.40%,37.50%,77.60%,26.90%,50.50%,68.70%,65.70%,61.00%,78.90%,82.40%,75.50%,43.60%,84.50%,78.80%,56.30%,75.10%,81.80%,88.10%
Herkimer,Unemployment rate,6.10%,18.80%,18.40%,7.70%,2.70%,6.90%,3.30%,2.10%,2.70%,2.30%,1.20%,5.80%,15.80%,0.00%,4.60%,0.00%,6.90%,16.30%,7.00%,5.90%,5.90%,5.70%,6.10%,25.70%,4.30%,4.40%,5.50%,6.80%,3.00%,2.70%
Jefferson,Total,87060,5124,11040,10421,8390,12840,11823,6361,5892,8832,6337,75480,5260,389,1472,247,1195,3017,5861,72215,66767,36434,30333,8174,53642,55727,4267,18607,20233,12620
Jefferson,Labor Force Participation Rate,63.70%,51.80%,83.60%,82.80%,80.00%,76.60%,76.90%,70.80%,44.40%,21.40%,5.10%,63.10%,66.70%,57.30%,71.90%,80.60%,61.90%,70.10%,69.70%,62.60%,75.80%,80.10%,70.70%,42.80%,81.90%,74.30%,40.10%,70.80%,76.90%,86.60%
Jefferson,Unemployment rate,5.80%,19.00%,8.70%,4.00%,5.20%,5.20%,4.00%,7.00%,3.70%,2.10%,5.30%,5.90%,3.70%,9.20%,9.50%,0.00%,5.90%,2.30%,6.90%,5.80%,5.30%,5.50%,5.10%,19.70%,4.10%,4.80%,7.10%,6.60%,3.90%,3.30%
Kings,Total,2046251,107178,158549,241249,231644,358560,301782,148547,137983,204893,155866,875147,656077,6468,249692,1186,174060,83621,375125,742990,1578314,747424,830890,249737,1320600,1419765,197864,339245,282912,599744
Kings,Labor Force Participation Rate,63.70%,17.70%,63.50%,82.80%,84.10%,83.50%,79.50%,72.30%,57.90%,26.00%,5.40%,66.00%,60.40%,64.00%,64.10%,65.30%,60.90%,68.90%,61.40%,66.90%,77.40%,81.40%,73.80%,45.60%,83.80%,79.00%,60.70%,71.40%,78.30%,89.60%
Kings,Unemployment rate,6.50%,28.20%,12.80%,7.00%,5.80%,5.20%,5.70%,4.90%,5.20%,3.90%,6.50%,5.00%,8.60%,7.00%,5.70%,13.50%,7.30%,8.40%,7.60%,4.70%,6.30%,6.80%,5.80%,23.10%,4.60%,5.70%,7.80%,7.80%,7.00%,3.80%
Lewis,Total,21079,1256,1448,1545,1465,2873,3332,2045,2156,2824,2135,20417,175,34,60,0,185,208,352,20165,14864,7556,7308,1762,13052,13416,901,5912,4116,2487
Lewis,Labor Force Participation Rate,59.70%,28.20%,78.90%,84.30%,83.70%,84.70%,81.60%,75.20%,55.00%,21.60%,3.80%,60.50%,30.90%,52.90%,16.70%,-,36.80%,39.90%,57.70%,60.50%,77.70%,83.00%,72.20%,48.90%,81.90%,77.50%,52.10%,75.20%,79.90%,88.50%
Lewis,Unemployment rate,4.90%,5.40%,10.40%,2.60%,4.30%,3.80%,4.70%,6.50%,5.40%,2.10%,0.00%,4.80%,22.20%,0.00%,20.00%,-,5.90%,5.10%,1.50%,4.90%,5.10%,6.10%,3.80%,13.20%,4.40%,4.50%,9.60%,5.90%,3.60%,1.90%
Livingston,Total,53481,4514,6405,3392,3420,6643,8304,4791,4725,6631,4656,49367,1628,165,655,53,548,1065,1768,48505,37680,19411,18269,4796,29953,31275,2218,9683,10494,8880
Livingston,Labor Force Participation Rate,57.20%,33.70%,61.90%,76.90%,82.30%,75.60%,80.20%,72.20%,53.90%,26.70%,4.20%,58.10%,25.70%,12.10%,70.10%,100.00%,63.50%,54.70%,46.50%,58.50%,71.90%,72.00%,71.80%,39.60%,83.10%,73.90%,42.70%,70.60%,73.10%,86.30%
Livingston,Unemployment rate,4.00%,14.20%,9.60%,3.40%,3.10%,3.60%,2.00%,1.10%,2.90%,1.40%,3.60%,3.90%,5.30%,40.00%,0.00%,0.00%,12.40%,7.50%,6.60%,3.90%,3.60%,3.60%,3.60%,19.20%,2.50%,2.60%,3.50%,2.30%,4.00%,1.40%
Madison,Total,59045,5327,5657,3618,3759,7370,9266,5529,5493,7645,5381,55663,1093,374,614,60,263,978,1256,54902,40692,20302,20390,3132,35519,35035,2445,11473,11523,9594
Madison,Labor Force Participation Rate,59.40%,33.60%,60.90%,81.00%,77.80%,87.20%,85.90%,67.30%,57.70%,31.30%,5.40%,59.80%,44.40%,47.60%,39.90%,40.00%,52.50%,73.00%,62.60%,59.70%,75.10%,78.70%,71.60%,38.60%,80.70%,77.40%,56.90%,71.60%,81.00%,85.40%
Madison,Unemployment rate,3.90%,5.30%,3.70%,2.70%,5.50%,5.00%,4.20%,2.60%,3.10%,1.80%,2.70%,4.00%,4.90%,2.80%,0.00%,0.00%,0.00%,0.00%,0.70%,4.00%,4.00%,2.90%,5.20%,16.90%,3.40%,4.00%,15.00%,2.00%,3.40%,4.80%
Monroe,Total,606860,41177,50888,54167,50920,84636,94026,53067,49256,73367,55356,469649,83367,1714,21975,358,12327,17470,47461,444255,436960,212208,224752,56527,373119,386072,31170,81137,115323,158442
Monroe,Labor Force Participation Rate,63.90%,39.40%,75.20%,87.20%,86.50%,84.10%,83.40%,74.00%,59.00%,27.10%,7.20%,64.10%,61.50%,63.80%,62.50%,51.10%,63.90%,69.30%,63.60%,64.20%,79.50%,82.40%,76.80%,46.70%,85.30%,80.10%,51.10%,73.50%,80.80%,88.60%
Monroe,Unemployment rate,5.30%,16.80%,10.00%,6.50%,5.30%,4.20%,3.00%,3.40%,2.60%,4.90%,4.30%,4.10%,10.20%,9.80%,3.80%,0.00%,9.90%,11.10%,10.50%,3.90%,4.80%,5.20%,4.40%,22.80%,3.30%,4.10%,12.00%,5.00%,4.80%,2.40%
Montgomery,Total,39368,2416,2759,3005,3165,5696,6183,3439,3518,5219,3968,34840,1125,61,268,12,2098,964,4879,32564,27765,13828,13937,4247,23323,25006,2895,8003,8797,5311
Montgomery,Labor Force Participation Rate,60.20%,35.80%,85.10%,81.30%,78.50%,80.10%,83.00%,75.00%,56.00%,20.30%,6.30%,60.10%,55.90%,13.10%,60.40%,100.00%,64.60%,59.20%,63.50%,59.80%,77.50%,81.20%,73.80%,47.40%,83.60%,76.60%,57.60%,71.10%,80.60%,88.70%
Montgomery,Unemployment rate,6.00%,20.70%,9.40%,8.50%,5.20%,5.30%,4.80%,4.40%,2.80%,2.90%,0.00%,5.70%,8.30%,0.00%,2.50%,0.00%,6.60%,13.00%,8.70%,5.30%,5.60%,5.90%,5.30%,19.80%,4.20%,5.20%,5.60%,3.70%,4.90%,7.10%
Nassau,Total,1098612,68114,85398,80832,77007,162660,189006,101623,92409,133420,108143,745136,128362,2635,109427,294,72903,39855,171969,670429,788935,388463,400472,39409,743247,703537,51174,132006,166037,354320
Nassau,Labor Force Participation Rate,65.10%,26.90%,68.70%,84.70%,86.70%,86.40%,84.80%,80.00%,68.50%,35.20%,9.60%,63.60%,69.60%,63.50%,66.30%,71.80%,68.00%,70.30%,70.90%,62.60%,81.00%,86.70%,75.50%,44.80%,83.40%,82.50%,69.70%,76.30%,81.40%,87.20%
Nassau,Unemployment rate,4.10%,15.70%,8.90%,5.90%,3.50%,2.60%,3.00%,3.30%,3.50%,3.30%,2.20%,3.80%,6.30%,1.90%,3.50%,13.70%,4.10%,4.50%,3.60%,3.90%,3.90%,4.10%,3.70%,15.10%,3.60%,3.40%,4.30%,4.40%,4.50%,2.50%
New York,Total,1418173,56678,111192,188117,174318,233553,199243,95799,88523,147216,123534,802987,196689,5663,180523,738,156387,75186,346506,687786,1090745,528198,562547,147020,922707,979553,89903,110270,130281,649099
New York,Labor Force Participation Rate,66.90%,21.70%,64.40%,86.40%,88.60%,85.40%,80.60%,71.70%,60.20%,34.50%,12.30%,71.60%,56.50%,57.20%,65.60%,74.30%,57.20%,67.50%,59.60%,73.50%,79.80%,82.80%,77.00%,38.20%,87.50%,81.60%,58.00%,65.50%,74.90%,88.90%
New York,Unemployment rate,5.70%,34.00%,10.20%,4.50%,4.20%,4.70%,5.40%,5.60%,6.80%,4.90%,4.10%,4.10%,9.90%,20.00%,4.40%,0.00%,10.50%,8.50%,9.00%,3.80%,5.40%,5.70%,5.10%,25.80%,3.90%,5.00%,11.80%,8.20%,8.30%,3.40%
Niagara,Total,173431,10342,12139,13748,12750,23266,27855,16682,16455,23224,16970,153264,10931,1590,1487,70,1818,4271,4415,150936,122895,60703,62192,14753,107081,110756,7895,32402,40120,30339
Niagara,Labor Force Participation Rate,60.80%,49.10%,81.60%,86.80%,83.60%,84.30%,79.50%,71.80%,51.90%,20.20%,5.40%,61.20%,55.10%,56.00%,68.00%,61.40%,56.40%,61.40%,62.40%,61.20%,77.10%,80.00%,74.30%,41.10%,82.70%,76.60%,58.00%,70.20%,77.30%,87.40%
